 |UDP:0, 1|TCP:0|GV:0|RKN:0
  a|UDP:0|TCP:1|GV:0|RKN:0
 -lm|UDP:0, 1|TCP:0|GV:0, 1|RKN:2
 -lm ln|UDP:0|TCP:0|GV:0|RKN:5
 an|UDP:1, 6|TCP:0|GV:1, 5|RKN:6
 lalm amaa an|UDP:2|TCP:11|GV:11|RKN:11
 na n a|UDP:0|TCP:0|GV:0|RKN:12
 un u  lnl a n un n  .|UDP:1|TCP:11|GV:1|RKN:3
108 TELECOM LLC|UDP:1|TCP:1|GV:1|RKN:2
AIRONET|UDP:0|TCP:1|GV:1|RKN:0
alau|UDP:1|TCP:0|GV:11|RKN:8
Aleksandrovka - Kabardian-Balkar Telecommunications Company|UDP:0|TCP:0|GV:0, 1|RKN:8
Aleksandrovka - NAT Ferma Rostelecom|UDP:0, 1|TCP:0|GV:0, 1|RKN:8
an. |UDP:0|TCP:1|GV:0|RKN:6
Arkhangelsk - SPBNIT|UDP:1|TCP:2|GV:1|RKN:5
Astrakhan - Nizhnevolzhskie Telecommunication Networks Real |UDP:0, 1|TCP:0|GV:0, 1|RKN:0
Astrakhan - PJSC Vimpelcom|UDP:5|TCP:5|GV:0|RKN:8
Barnaul - JSC ER-Telecom Holding|UDP:2|TCP:3|GV:2|RKN:2
Barnaul - OJSC Sibirtelecom|UDP:0|TCP:1|GV:0|RKN:5
BAZA.NET LLC|UDP:1|TCP:0|GV:1|RKN:0
Beeline|UDP:6|TCP:0|GV:0|RKN:0
Beeline Broadband|UDP:0|TCP:0|GV:0|RKN:1
Biysk - Wirenet LLC|UDP:0|TCP:0|GV:0, 6|RKN:0
Blagoveshchensk - PJSC Rostelecom|UDP:0|TCP:1|GV:1|RKN:5
Blagoveshchensk - Rostelecom networks|UDP:0|TCP:2|GV:1|RKN:2
Bogoroditsk - ARD Teleport LTD.|UDP:0|TCP:12|GV:0|RKN:1
Bolshoye Murashkino - MTS PJSC|UDP:1|TCP:0|GV:0|RKN:0
Bryansk - CORBINA-BROADBAND|UDP:0|TCP:0|GV:0|RKN:3
Buguruslan - Orenburg branch of OJSC VolgaTelecom|UDP:1, 4|TCP:1|GV:0, 1|RKN:4
Buko LTD|UDP:0|TCP:6|GV:1|RKN:13
Cheboksary - CJSC ER-Telecom Holding Cheboksary branch|UDP:1|TCP:1|GV:1|RKN:2
Cheboksary - VolgaTelecom Cheboxary|UDP:1|TCP:1|GV:0, 1|RKN:5
Chelyabinsk - JSC ER-Telecom Holding|UDP:4|TCP:8|GV:0, 4|RKN:9
Chelyabinsk - OJSC uralsvyazinform|UDP:0|TCP:3|GV:0|RKN:5
CJSC ER-Telecom Holding Lipetsk Branch|UDP:0|TCP:0|GV:1|RKN:0
CJSC Kuzbassenergosviaz|UDP:0|TCP:0|GV:0|RKN:0
Closed Joint Stock Company SibTransTelecom|UDP:0|TCP:0|GV:0|RKN:2
Comfortel Ltd|UDP:0|TCP:0|GV:0|RKN:1
Derbent - LLC Daginfonet|UDP:1, 2, 3|TCP:11|GV:6, 0|RKN:0
Dmitriy Panchenko|UDP:0, 1, 4|TCP:0|GV:0, 1, 11|RKN:0
Dubrovitsy - Buko LTD|UDP:0|TCP:1|GV:6|RKN:13
Elektrostal - Flex ISP|UDP:0|TCP:1|GV:0|RKN:2
Enerhodar - OOO Tenor|UDP:0|TCP:0|GV:0|RKN:6
Gertsena - CJSC ER-Telecom Holding Kirov branch|UDP:5|TCP:3|GV:0|RKN:10
Gertsena - JSC ER-Telecom Holding|UDP:0, 1|TCP:1|GV:0|RKN:0
h1Not Foundh1The requested URL linefieldsispcity was not fou|UDP:1|TCP:3|GV:0|RKN:13
INKO Ltd|UDP:1|TCP:1|GV:1|RKN:4
Intelsc Ltd|UDP:2|TCP:0|GV:11|RKN:0
Interra Ltd.|UDP:2|TCP:3|GV:1|RKN:1
Ivanteyevka - Ivanteevskie telecommunicacii Ltd|UDP:0|TCP:0|GV:1|RKN:5
Izhevsk - CJSC ER-Telecom Holding Izhevsk branch|UDP:8|TCP:11|GV:0|RKN:5
Izhevsk - Newtone|UDP:4, 5, 8|TCP:0|GV:0|RKN:1
Izhevsk - Udmvt NAT Global|UDP:1|TCP:3|GV:0|RKN:8
Izobilnyy - Olimp-Telecom26 LLC|UDP:0|TCP:1|GV:11|RKN:0
JSC ER-Telecom Holding Irkutsk Branch|UDP:0|TCP:1|GV:1|RKN:5
JSC ER-Telecom Holding Kirov Branch|UDP:0|TCP:1|GV:0, 1|RKN:0
JSC ER-Telecom Holding Nizhny Novgorod|UDP:0|TCP:5|GV:0|RKN:5
JSC ER-Telecom Holding Samara Branch|UDP:0|TCP:0|GV:1|RKN:2
JSC ER-Telecom Holding Volgograd Branch|UDP:0|TCP:0|GV:0|RKN:1
JSC Teleset|UDP:0|TCP:0|GV:1|RKN:5
JSC Ufanet|UDP:0|TCP:0|GV:0|RKN:5
Kazan - JSC ER-Telecom Holding|UDP:0|TCP:0|GV:0|RKN:4
Kazan - JSC Ufanet|UDP:2|TCP:1|GV:1|RKN:9
Kazan - Rostelecom networks|UDP:2|TCP:0|GV:0|RKN:0
Kazan - TATTELECOM|UDP:2|TCP:2|GV:0|RKN:0
Kemerovo - Closed Joint Stock Company Kuzbassenergosviaz|UDP:0|TCP:0|GV:0|RKN:17
Khabarovsk - JSC Redcom-lnternet|UDP:0, 7|TCP:0|GV:0, 1|RKN:6
Khabarovsk - PJSC Rostelecom|UDP:0|TCP:0|GV:0|RKN:5
Khabarovsk - Redcom LIR|UDP:0|TCP:3|GV:0|RKN:6
Kirov - CJSC ER-Telecom Holding Kirov branch|UDP:8|TCP:9|GV:10|RKN:9
Kirov - MTS PJSC|UDP:0, 1|TCP:0|GV:1, 16|RKN:0
Koltushi - Koltushsky Internet Ltd|UDP:6|TCP:8|GV:0|RKN:11
Konakovo - GigaLink Ltd|UDP:1|TCP:1|GV:1|RKN:0
Krasnodar - CORBINA-BROADBAND|UDP:1, 6|TCP:1|GV:1, 11|RKN:4
Krasnodar - K-telekom LLC|UDP:0|TCP:1|GV:0, 1|RKN:5
Krasnodar - LLC AVANTA TELECOM|UDP:0|TCP:0|GV:0|RKN:1
Krasnodar - Msk SCARTEL Network|UDP:1|TCP:0|GV:0|RKN:0
Krasnodar - OJSC Rostelecom Macroregional Branch South|UDP:1|TCP:0|GV:0|RKN:5
Krasnodar - PAO Rostelecom|UDP:0, 1|TCP:0|GV:0, 1|RKN:5
Krasnoyarsk - CJSC ER-Telecom Holding Krasnoyarsk branch|UDP:0|TCP:0|GV:0|RKN:0
Krasnoyarsk - Igra-Service LLC|UDP:0|TCP:0|GV:0|RKN:5
Krasnoyarsk - Orion Telecom|UDP:0|TCP:2|GV:2|RKN:14
Krasnoyarsk - Rostelecom networks|UDP:2|TCP:1|GV:0|RKN:5
Kurgan - MTS PJSC|UDP:1|TCP:0|GV:0|RKN:1
Kurgan - OJSC uralsvyazinform|UDP:0|TCP:8|GV:0|RKN:0
l lm |UDP:0, 6|TCP:0|GV:0, 6|RKN:3
LLC Digital Dialogue-Nets|UDP:1|TCP:0|GV:0|RKN:17
LLC Flex|UDP:0, 2|TCP:0|GV:0|RKN:6
lm|UDP:0|TCP:0|GV:0|RKN:5
lm - amaa|UDP:2|TCP:11|GV:11|RKN:11
London - Address Limited|UDP:1, 3|TCP:4|GV:0, 6|RKN:2
Lovitel LLC|UDP:1|TCP:1|GV:1|RKN:2
Lysyye Gory - MTS PJSC|UDP:1|TCP:0|GV:0|RKN:0
Lyublino - Moscow Local Telephone Network OAO MGTS|UDP:0|TCP:1|GV:0|RKN:0
m |UDP:0|TCP:0|GV:1|RKN:0
m- |UDP:3|TCP:0|GV:0|RKN:2
Makhachkala - LTD R-LINE|UDP:0|TCP:0|GV:4|RKN:9
Mednogorsk - Orenburg branch office of VolgaTelecom company|UDP:0|TCP:0|GV:0|RKN:5
Megion - Pride Limited company|UDP:0|TCP:0|GV:0|RKN:12
Meleuz - Bashinformsvyaz Company RUMS DSL|UDP:5|TCP:1|GV:0|RKN:4
Mikheyevo - MKS Telecom LLC|UDP:1|TCP:1|GV:0|RKN:5
Moscow - 108 Telecom network|UDP:0|TCP:0|GV:1|RKN:2
Moscow - 2COM|UDP:2|TCP:0|GV:0|RKN:0
Moscow - Agronet LLC|UDP:1|TCP:0|GV:0|RKN:0
Moscow - Cloud Technologies LLC trading as Cloud.ru|UDP:0|TCP:0|GV:0|RKN:3
Moscow - CNT-network|UDP:2|TCP:0|GV:13|RKN:2
Moscow - Corbina Broadband Saratov|UDP:0|TCP:1|GV:0|RKN:16
Moscow - CORBINA-BROADBAND|UDP:0, 4|TCP:0|GV:0, 1, 11|RKN:0
Moscow - First Server Limited|UDP:1, 4|TCP:4|GV:0, 1|RKN:3
Moscow - FVNO-R|UDP:0|TCP:3|GV:0|RKN:3
Moscow - Gigakom Sistems OOO|UDP:0|TCP:0|GV:0|RKN:2
Moscow - GranLine Ltd.|UDP:0|TCP:1|GV:0|RKN:0
Moscow - Hostkey B.V.|UDP:6|TCP:6|GV:0|RKN:4
Moscow - Inetcom Carrier LLC|UDP:0, 3|TCP:4|GV:1, 16|RKN:2
Moscow - IT Outsourcing LLC|UDP:0, 1, 2|TCP:0|GV:0, 1, 6|RKN:0
Moscow - JSC ER-Telecom Holding|UDP:0, 4|TCP:0|GV:0|RKN:4
Moscow - MARYNONET|UDP:1|TCP:3|GV:0, 3|RKN:5
Moscow - MegaFon|UDP:3|TCP:2|GV:1|RKN:8
Moscow - Moscow Local Telephone Network OAO MGTS|UDP:0, 1, 2|TCP:1|GV:0, 1|RKN:0
Moscow - Moscow Local Telephone Network PJSC MGTS|UDP:0, 1, 2|TCP:1|GV:0, 1, 6|RKN:0
Moscow - NCNET|UDP:3, 0, 4|TCP:0|GV:0, 1, 6|RKN:3
Moscow - Net By Net Holding LLC|UDP:3|TCP:11|GV:0|RKN:15
Moscow - OJSC Rostelecom Macroregional Branch South|UDP:0, 2|TCP:1|GV:1, 11|RKN:0
Moscow - PJSC MegaFon|UDP:0|TCP:0|GV:0|RKN:2
Moscow - PJSC Moscow city telephone network|UDP:1, 5, 6|TCP:2|GV:0, 1|RKN:13
Moscow - POIG Ltd.|UDP:1|TCP:1|GV:0|RKN:2
Moscow - SU29|UDP:0|TCP:11|GV:11|RKN:13
Moscow - Tele2 Russia Groups|UDP:0|TCP:13|GV:0|RKN:2
Moscow - TELEDOM|UDP:1, 3|TCP:4|GV:0, 1|RKN:2
Moscow - Trinet Ltd.|UDP:0, 5|TCP:1|GV:0, 11|RKN:0
Moscow - WAIcore Ltd|UDP:4|TCP:4|GV:0|RKN:4
Mstikhino - PJSC MegaFon|UDP:3|TCP:3|GV:1|RKN:17
MTS - Yekaterinburg|UDP:0|TCP:1|GV:1|RKN:12
n|UDP:0|TCP:0|GV:0|RKN:4
n  man lnn|UDP:0|TCP:0|GV:0|RKN:2
Naberezhnyye Chelny - MTS PJSC|UDP:8|TCP:12|GV:1|RKN:12
nal  |UDP:0|TCP:0|GV:0|RKN:8
Nemchinovka - Moscow Local Telephone Network OAO MGTS|UDP:0|TCP:0|GV:0|RKN:6
Networks CLN Internet access|UDP:0|TCP:0|GV:0|RKN:8
Nizhnekamsk - CJSC ER-Telecom Holding Naberezhnye Chelny bra|UDP:4|TCP:1|GV:1|RKN:5
Nizhniy Novgorod - CJSC ER-Telecom Holding Nizhny Novgorod b|UDP:3|TCP:2|GV:0|RKN:0
Nizhniy Novgorod - CORBINA-BROADBAND|UDP:1|TCP:4|GV:1|RKN:1
Nizhniy Novgorod - Link Telecom NN Ltd|UDP:0|TCP:3|GV:0|RKN:0
Nizhniy Novgorod - MTS PJSC|UDP:0, 1|TCP:0|GV:0|RKN:5
Nizhniy Novgorod - NMTS|UDP:0|TCP:2|GV:0|RKN:0
Nizhniy Novgorod - PJSC Rostelecom|UDP:3|TCP:13|GV:0|RKN:0
Nizhniy Novgorod - PJSC Vimpelcom|UDP:2|TCP:1|GV:0|RKN:0
Novoaltaysk - JSC Rostelecom regional branch Siberia|UDP:6|TCP:11|GV:11|RKN:5
Novosibirsk - MTS PJSC|UDP:2, 3, 8|TCP:1|GV:0, 1, 6|RKN:5
Novosibirsk - Novotelecom Ltd|UDP:0|TCP:2|GV:17|RKN:9
Novosibirsk - Novotelecom Ltd.|UDP:0|TCP:5|GV:0|RKN:5
Novosibirsk - SIBNETWORKS NSK nats|UDP:3|TCP:1|GV:0|RKN:8
Novotelecom ltd.|UDP:8|TCP:5|GV:0|RKN:14
OAO Mgts|UDP:0, 1, 3|TCP:0|GV:0, 1|RKN:12
Odintsovo - JSC Ufanet|UDP:0|TCP:0|GV:0|RKN:5
OJSC North-West Telecom|UDP:0, 2|TCP:0|GV:0|RKN:0
OJSC Rostelecom Macroregional Branch South|UDP:0|TCP:11|GV:11|RKN:11
Omsk - CJSC ER-Telecom Holding Omsk branch|UDP:1|TCP:11|GV:0, 1|RKN:5
Omsk - JSC ER-Telecom Holding|UDP:0, 1|TCP:0|GV:0|RKN:0
Omsk - Omskie kabelnye seti Ltd.|UDP:0|TCP:1|GV:0|RKN:0
Omsk - Rostelecom networks|UDP:0|TCP:0|GV:1|RKN:0
Omsk - ZSTTK|UDP:3|TCP:1|GV:0|RKN:5
Orenburg - JSC ER-Telecom Holding|UDP:2|TCP:3|GV:1|RKN:4
Orenburg - Orenburg branch of OJSC VolgaTelecom|UDP:0|TCP:3|GV:0|RKN:2
Orsk - JSC Ufanet|UDP:3|TCP:3|GV:1|RKN:11
Oryol - JSC Resource-Sviaz Regional Network|UDP:1|TCP:0|GV:0|RKN:2
Oryol - MTS OJSC|UDP:0|TCP:1|GV:0|RKN:0
Oryol - S-INFORM Network|UDP:1|TCP:0|GV:0|RKN:0
Pargolovo - Smart Home Limited Liability Company|UDP:4|TCP:11|GV:11|RKN:9
Penza - CJSC ER-Telecom Holding Penza branch|UDP:0|TCP:10|GV:0|RKN:9
Penza - SM Ltd.|UDP:2|TCP:2|GV:1|RKN:17
Perm - MTS PJSC|UDP:0|TCP:2|GV:0|RKN:0
Perm - OJSC ER-Telecom Perm|UDP:2|TCP:2|GV:2|RKN:2
Permtelecom|UDP:1, 0|TCP:6|GV:0, 1|RKN:11
